id,type,text1,text2,text3,text4,notes
matmatika,FACTION,"The remnants of a branch of the Tri-Tachyon megacorporation who specialized in mathematical theories. In opposition to the Company's practical approach to technology, Mat-Matika were allegedly cast away due to insufficient results in the grand scheme of their parent organization. In the aftermath of this breach of contract, the branch was allowed to make its home in a separate system, centered around a humble brown dwarf they called Arista, in reference to an ancient mathematician from the Old Earth. In their new colonies, they established a defensive ground using advanced ships from their Tri-Tachyon times and the unique blueprints they designed through extensive theorizing about flux and hull.

It is unclear to the Sector why or how this humble faction was allowed to exist separately from Tri-Tachyon, rather than being absorbed into it, wrung out of every credit it could still output and be disposed of. Many rumors have spread around this uncanny, inefficient solution, but most believe that the child of the Company was somehow able to provide more valuable assets as a separate entity than it ever could on the inside, with their corporate overlords also attempting to strike some points with other factions by showcasing their generosity and benevolence in supporting the meager existence of this new entity. Beneath this, however, bolder spacers speak of a more fitting, self-interested reason in the secret and independent research that Mat-Matika might be undergoing after their decades of abstract theory, born from very unique systems that were inexplicably built into their ships over the years, different from everything that even the megacorporation could present.",,,,
,,,,,,
periphery_star,CUSTOM,"A pulsar with the visible light of its beams encapsulated within an asteroid belt. A unique sight within the sector, it was Ludds illustration of this system that formed the basis of the Luddic crest. A holy flag conceived within the stars for all to bear witness.",,,,
periphery_planet,CUSTOM,"It was here, Ludd himself contemplated the fate of the sector before committing himself down the path that lead towards his final sacrifice. Considered a holy site within the sector, it is common for pilgrims and heretics alike to work the mines in penance for their sins. The site of the planetary shield, commonly referred to as Ludd's Ward, is forbidden territory.",,,,
periphery_station,CUSTOM,A refuelling station locked in a geostationary orbit behind Randis for protection from Periphery's harsh radiation. Secured and militarised by the Path in order to protect the virtues of the planet below.,,,,
,,,,,,
Nergal_Lugalirra,CUSTOM,"The Sindrian Diktat's first foray outside Askonia, Lugalirra serves as a stopgap measure for increasing piracy against goods headed towards Sindria by enterprising pirates based in Umbra and elsewhere targeting the Askonia system. Though abundant in common ore, its volatiles are miniscule and transplutonic ore deposits ho-hum. When not shoring up deficits in Askonia, the mining bureau makes a moderate profit supplying the neighboring Mbaye's orbital works.",,,,
Nergal_Meslamtaea,CUSTOM,"A hub for Mbaye's questionable practice of speculative cryofreezing and commercial practices. Those looking to quickly turn their credits into more credits without the risks inherent in intersystem trading turn here. Of course, maintenance doesn't come by cheap and one bad investment may leave hopefuls thawed and penniless turning to the same piracy that dissuaded them from a trader's life.",,,,
Nergal_Observatory,CUSTOM,"Originally a research station, now, a military installation and ship manufactory, the Nergal observatory produces the civilian transports and starliners Mbaye are famed for. With the arrival of new neighbors, the orbital works begin to produce more warships as a check against any overly ambitious Diktat officers.",,,,
,,,,,,
alculus_planet,CUSTOM,"After reports of a virulent biohazard spreading across Cess, Tri-Tachyon quarantined the planet and poisoned the skies, killing the population. The objective was to prevent the spread of the biohazard throughout the system while preserving the infrastructure which held significant monetary value to the corporation. When the collapse came the Luddic Path saw an opportunity and recolonised the planet believing their faith would protect them.",,,,
alger_planet,CUSTOM,"A colony of the slave variety. Originally a penal colony, when the inmates took over the guards were put to work. Any attempts to bring order to this place have been met with fierce discord and violence by the vying rabbles who have carved out their own special places in this hell.",,,,
station_flotsam,CUSTOM,Flotsam and Jetsam were constructed as part of a kite-racing track following Lagans rings. When the sponsors pulled out due to the inherent violence in the system an anarcho-syndicalist commune took over and decided the best way of settling draws was with a sword throwing contest. Needless to say the fans were mad and in a bloody take over turned to a life of crime to fuel their belt-racing obsession.,,,,
station_jetsam,CUSTOM,Flotsam and Jetsam were constructed as part of a kite-racing track following Lagans rings. When the sponsors pulled out due to the inherent violence in the system an anarcho-syndicalist commune took over and decided the best way of settling draws was with a sword throwing contest. Needless to say the fans were mad and in a bloody take over turned to a life of crime to fuel their belt-racing obsession.,,,,
,,,,,,
big_k_syphon_station,CUSTOM,Commonly seen in propaganda advertising an honest days work. Knowmore is populated by the young and firery beliving they can make it rich plundering the depths of Klendathu.,,,,
little_k_planet,CUSTOM,"The homestead of numerous independent mercenary units and those looking for a fight. When not contracted, many units participate in the bloody games that are broadcast across the local comm-net in a bid for glory and fame.",,,,
planet_scrumpy,CUSTOM,"Intend as an alternative site for the farm of the now famous Volturain Lobster breeding program, the higher acidity of the planets water made the seas unsuitable for purpose. With environmental impacts now defunct the planet was repurposed to fuel and ship production and the seas became a convenient dumping ground for by-products and waste",,,,
